Model,Bandwidth_Mbps,DINA,MEDIA,Ours,OCC
ALBERT,1,318899.9336440011,48104.38659326865,227.20051729809998,1306.3217245980036
ALBERT,10,32678.83989400108,19782.241034307594,227.20051729809998,1306.3217245980036
ALBERT,50,7236.96489400108,7115.754298044269,223.35735750060002,1306.3217245980036
ALBERT,100,4056.73051900108,4056.73051900108,219.54289580168003,1306.3217245980036
ALBERT,500,1512.5430190010798,1512.5430190010798,219.48666060068,1306.3217245980036
ALBERT,1000,1194.51958150108,1194.51958150108,219.48666060068,1306.3217245980036
BERT-base,1,39666.24475270176,7453.500643253202,666.2447527017597,1082.1565301980977
BERT-base,10,4566.244752701761,2505.7272004445167,630.5298872017598,1082.1565301980977
BERT-base,50,1446.2447527017598,1359.8629035239057,610.13204290176,1082.1565301980977
BERT-base,100,1056.24475270176,1069.9653352069774,605.08510920176,1082.1565301980977
BERT-base,500,744.24475270176,744.24475270176,605.08510920176,1082.1565301980977
BERT-base,1000,705.24475270176,705.24475270176,605.08510920176,1082.1565301980977
DistillBERT,1,90433.54587349932,2973.4632105507135,119.7165247,603.9478128913997
DistillBERT,10,9433.54587349931,8804.921083405661,119.7165247,603.9478128913997
DistillBERT,50,2233.54587349931,1922.4791466619695,117.2200715,603.9478128913997
DistillBERT,100,1333.54587349931,1332.0668203345263,112.1939763,603.9478128913997
DistillBERT,500,613.5458734993099,613.5458734993099,112.1939763,603.9478128913997
DistillBERT,1000,523.54587349931,523.54587349931,110.1101914,603.9478128913997
InceptionV3,1,22036.549918750003,17376.90395793287,1505.7882,1689.5825229675295
InceptionV3,10,3558.864372,3966.0418336374964,1505.7882,1689.5825229675295
InceptionV3,50,1916.4034343750002,1916.4034343750002,1421.6905,1689.5825229675295
InceptionV3,100,1711.0958171875002,1711.0958171875002,1362.4088187500004,1689.5825229675295
InceptionV3,500,1546.8497234375002,1546.8497234375002,1018.5224062499998,1689.5825229675295
InceptionV3,1000,1526.31896171875,1526.31896171875,956.3063749999999,1689.5825229675295
TinyBERT-4l,1,104.71379160064,104.71379160064,26.6364873,104.71379160064
TinyBERT-4l,10,104.71379160064,104.71379160064,26.6364873,104.71379160064
TinyBERT-4l,50,104.71379160064,104.71379160064,26.6364873,104.71379160064
TinyBERT-4l,100,104.71379160064,104.71379160064,26.6364873,104.71379160064
TinyBERT-4l,500,104.71379160064,104.71379160064,26.456403,104.71379160064
TinyBERT-4l,1000,104.71379160064,104.71379160064,26.456403,104.71379160064
TinyBERT-6l,1,90440.90907479892,3024.118991512059,121.92242019979999,611.3080558932804
TinyBERT-6l,10,9440.90907479892,8819.961123547931,121.92242019979999,611.3080558932804
TinyBERT-6l,50,2240.90907479892,1994.1478801718288,119.39751489979999,611.3080558932804
TinyBERT-6l,100,1340.90907479892,1341.0826969691832,114.2444304,611.3080558932804
TinyBERT-6l,500,620.9090747989201,620.9090747989201,114.2444304,611.3080558932804
TinyBERT-6l,1000,530.9090747989201,530.9090747989201,112.0833351,611.3080558932804
ViT-base,1,715934.8151072378,296369.2848704828,425.15835730120006,2199.0326746816477
ViT-base,10,73049.71989239406,49070.960231071826,425.15835730120006,2199.0326746816477
ViT-base,50,15904.37809551905,13749.010578119123,425.15835730120006,2199.0326746816477
ViT-base,100,8761.210370909674,8605.448527300921,425.15835730120006,2199.0326746816477
ViT-base,500,3046.676191222175,3046.676191222175,425.15835730120006,2199.0326746816477
ViT-base,1000,2332.3594187612375,2332.3594187612375,425.15835730120006,2199.0326746816477
